Area,Year,Subgroup,0-10,14-18,18-30,30-50,50-above,Total_Cases
Andaman & Nicobar Islands,2010,Total Rape Victims,2,12,8,1,0,24
Andhra Pradesh,2010,Total Rape Victims,30,283,749,152,15,1362
Assam,2010,Total Rape Victims,1,29,1116,556,10,1721
Bihar,2010,Total Rape Victims,8,89,616,65,0,795
Chandigarh,2010,Total Rape Victims,4,4,15,0,0,31
Chhattisgarh,2010,Total Rape Victims,24,271,424,190,16,1012
Dadra & Nagar Haveli,2010,Total Rape Victims,1,1,0,0,0,3
Daman & Diu,2010,Total Rape Victims,1,0,0,0,0,1
Delhi,2010,Total Rape Victims,51,174,168,34,1,507
Goa,2010,Total Rape Victims,4,14,11,0,2,36
Gujarat,2010,Total Rape Victims,22,53,261,42,2,408
Haryana,2010,Total Rape Victims,4,80,481,127,5,720
Himachal Pradesh,2010,Total Rape Victims,8,48,67,20,1,160
Jammu & Kashmir,2010,Total Rape Victims,0,7,187,50,0,245
Jharkhand,2010,Total Rape Victims,0,0,604,169,0,773
Karnataka,2010,Total Rape Victims,10,69,369,88,3,586
Kerala,2010,Total Rape Victims,29,133,328,86,12,636
Lakshadweep,2010,Total Rape Victims,0,0,0,0,0,0
Madhya Pradesh,2010,Total Rape Victims,53,826,1364,577,12,3136
Maharashtra,2010,Total Rape Victims,108,515,675,168,11,1611
Manipur,2010,Total Rape Victims,1,8,20,3,0,34
Meghalaya,2010,Total Rape Victims,33,26,41,17,0,151
Mizoram,2010,Total Rape Victims,10,15,29,17,4,92
Nagaland,2010,Total Rape Victims,1,2,6,6,0,16
Odisha,2010,Total Rape Victims,13,44,787,159,5,1025
Puducherry,2010,Total Rape Victims,0,3,0,0,0,3
Punjab,2010,Total Rape Victims,23,83,346,55,1,547
Rajasthan,2010,Total Rape Victims,37,277,805,346,36,1573
Sikkim,2010,Total Rape Victims,6,2,1,2,0,18
Tamil Nadu,2010,Total Rape Victims,21,139,411,66,0,687
Tripura,2010,Total Rape Victims,19,61,93,38,0,238
Uttar Pradesh,2010,Total Rape Victims,43,246,862,250,0,1563
Uttarakhand,2010,Total Rape Victims,2,5,92,19,0,121
West Bengal,2010,Total Rape Victims,0,51,1779,459,0,2311
